tenure_months,monthly_charges,total_charges,num_customer_service_calls,has_internet,has_phone,contract_type,paperless_billing,payment_method,churn
52,90.51,2521.94,9,0,0,0,0,1,0
15,44.87,2909.14,7,0,0,0,1,1,1
61,53.03,4206.72,7,1,0,1,1,1,1
21,63.45,2081.47,0,0,0,2,1,1,1
24,45.37,3877.47,7,1,0,2,1,0,0
3,60.52,2167.98,8,1,1,0,0,0,0
22,77.15,1833.97,3,1,1,2,1,3,1
53,94.1,4797.27,0,0,1,1,1,2,1
2,96.72,1003.42,0,1,1,2,1,2,0
30,102.28,542.65,2,1,1,0,1,1,1
38,94.42,3877.83,4,1,1,0,0,0,0
2,88.1,434.42,4,1,1,1,1,1,0
64,43.75,4201.69,8,1,0,1,0,3,0
60,60.02,2242.25,9,0,1,2,1,2,1
21,67.77,4586.02,1,1,0,2,0,2,1
33,28.29,3635.51,1,1,0,0,0,1,0
58,72.84,3090.98,5,0,1,1,0,3,1
22,63.63,4751.6,8,1,0,1,0,2,0
49,100.21,2043.58,0,0,0,1,0,3,0
59,117.79,4775.03,8,1,0,2,1,3,0
42,75.6,761.51,8,0,0,1,1,1,0
60,52.27,2470.4,8,0,1,0,1,0,1
15,24.34,1422.56,4,1,1,0,0,1,0
62,112.46,2745.23,8,1,1,2,1,0,0
62,111.91,893.87,3,1,1,2,0,3,1
47,45.3,4223.5,1,0,1,1,0,0,0
62,89.54,4247.4,5,0,1,2,1,3,0
51,27.54,4780.66,3,0,1,0,1,2,1
55,36.62,857.89,5,1,1,1,0,2,1
64,41.68,3154.33,2,0,1,0,0,2,1
3,49.45,2423.76,5,0,1,1,1,1,0
51,119.58,1787.48,1,1,0,2,1,1,1
7,89.69,1822.55,1,0,1,1,1,3,1
21,58.42,2122.69,8,0,0,1,1,2,0
39,93.71,3554.14,6,1,0,0,0,1,0
18,111.53,3031.6,2,0,0,0,1,2,0
4,115.87,2352.44,0,1,0,1,1,1,0
60,25.79,472.07,7,1,1,2,1,0,0
14,59.45,481.05,5,1,0,2,0,0,1
9,30.68,111.46,6,1,1,0,0,2,1
53,53.57,4841.73,8,1,1,2,0,3,1
2,36.97,125.74,4,0,0,0,0,1,0
60,84.68,605.16,0,0,1,2,1,1,0
71,58.83,1641.52,9,1,0,1,0,0,0
44,42.94,4056.41,6,1,0,0,1,0,1
8,46.59,4814.28,4,0,1,0,1,3,1
47,56.03,3971.07,2,1,1,1,1,3,0
35,45.99,3483.75,8,1,0,0,1,3,1
36,65.32,2654.37,0,1,1,2,0,2,0
50,23.23,524.86,0,0,1,2,0,0,1
4,47.98,4795.04,0,0,1,0,0,2,1
2,61.12,3816.12,2,1,0,2,1,0,1
6,80.28,3230.85,5,1,0,0,1,0,0
54,47.1,3819.28,9,0,1,1,1,1,1
4,33.32,3648.11,2,0,1,0,1,0,1
54,27.62,3222.43,7,1,1,1,1,0,0
63,114.05,4904.83,9,1,1,2,0,2,1
18,61.66,4526.48,1,0,1,1,1,0,0
44,78.12,3268.66,8,0,0,2,0,2,0
34,111.92,3496.56,2,0,1,0,1,3,0
62,28.27,352.82,4,1,0,2,1,0,0
14,107.67,3382.6,9,0,1,0,0,0,0
48,75.16,316.41,7,1,0,0,0,2,1
15,36.48,2982.49,1,0,1,1,1,3,0
62,61.13,4996.83,5,0,0,1,1,1,0
40,97.76,2823.45,4,0,1,1,1,3,0
53,68.04,2418.73,9,0,0,1,1,2,0
24,118.53,1632.99,8,1,0,2,0,3,1
26,57.67,690.56,4,1,0,2,1,2,0
60,94.96,3682.02,1,0,0,2,0,2,1
41,59.3,1043.74,4,1,0,0,1,1,0
29,102.92,664.88,3,0,0,2,0,0,1
15,76.91,2166.64,6,0,1,2,0,2,0
45,26.35,3997.18,5,0,0,2,1,2,0
65,23.68,3750.82,1,0,1,1,0,1,1
71,33.39,368.92,4,1,1,2,1,2,0
9,21.37,2330.2,6,0,1,0,0,0,1
1,27.54,2659.93,6,0,1,1,1,1,0
8,89.17,3258.28,4,1,1,0,0,0,1
63,73.43,3285.82,8,0,0,2,1,0,0
11,94.99,1887.02,3,0,0,1,1,1,0
8,111.32,2847.32,2,0,0,0,0,2,1
35,78.51,2457.2,3,1,1,2,0,0,0
35,92.61,4436.49,4,0,0,0,0,0,0
33,95.71,2698.3,5,1,0,0,0,0,0
5,57.79,2261.06,2,0,0,0,1,0,0
41,44.11,2081.98,1,0,0,2,0,1,0
28,40.5,2904.9,3,1,0,2,1,1,0
7,45.14,4039.49,4,0,1,0,0,3,1
12,47.47,2738.17,3,0,0,1,1,3,1
34,40.72,3342.11,2,1,1,1,1,0,1
33,107.82,3715.49,7,1,1,2,1,2,0
48,95.7,2648.82,9,1,1,2,1,0,1
23,24.69,2191.4,3,1,1,2,0,2,0
62,46.87,4395.66,1,1,1,2,0,0,0
