credit_score,income,loan_amount,loan_term,has_collateral,previous_defaults,target
720,50000,15000,36,1,0,1
680,42000,12000,48,1,1,0
750,60000,18000,24,1,0,1
610,35000,10000,60,0,1,0
790,72000,20000,36,1,0,1
640,40000,8000,48,0,1,0
700,48000,14000,36,1,0,1
590,30000,7000,60,0,1,0
730,55000,16000,36,1,0,1
620,37000,9000,48,0,1,0
760,65000,19000,24,1,0,1
600,34000,9500,60,0,1,0
710,47000,13500,36,1,0,1
670,41000,11000,48,1,1,0
740,58000,17000,24,1,0,1
630,39000,8500,60,0,1,0
780,70000,19500,36,1,0,1
650,42000,9500,48,0,1,0
720,52000,15000,36,1,0,1
600,33000,8800,60,0,1,0
