num_words,num_links,num_offers,num_urgent_words,target
120,2,1,0,1
45,0,0,0,0
200,3,2,1,1
50,0,0,0,0
180,2,1,1,1
55,0,0,0,0
160,1,2,0,1
40,0,0,0,0
210,3,3,2,1
60,0,0,0,0
130,1,1,0,1
48,0,0,0,0
190,2,2,1,1
52,0,0,0,0
175,1,1,1,1
58,0,0,0,0
165,2,2,0,1
43,0,0,0,0
195,3,2,1,1
65,0,0,0,0
150,1,1,0,1
47,0,0,0,0
180,2,2,1,1
49,0,0,0,0
160,1,1,0,1
46,0,0,0,0
200,2,3,1,1
54,0,0,0,0
170,1,2,0,1
44,0,0,0,0
185,2,1,1,1
53,0,0,0,0
145,1,1,0,1
41,0,0,0,0
175,2,2,1,1
59,0,0,0,0
155,1,1,0,1
42,0,0,0,0
165,2,1,1,1
50,0,0,0,0
140,1,1,0,1
48,0,0,0,0
190,3,3,2,1
45,0,0,0,0
200,2,2,1,1
43,0,0,0,0
160,1,1,0,1
55,0,0,0,0
180,2,2,1,1
50,0,0,0,0
