iter	Passed	Remaining
0	21	42441
1	42	42209
2	65	43330
3	87	43860
4	110	43930
5	131	43767
6	153	43664
7	175	43648
8	197	43719
9	218	43496
10	240	43480
11	262	43565
12	285	43564
13	306	43467
14	330	43710
15	353	43810
16	375	43837
17	398	43829
18	419	43733
19	442	43773
20	464	43798
21	486	43770
22	509	43806
23	531	43753
24	552	43671
25	576	43772
26	599	43811
27	620	43725
28	643	43749
29	665	43672
30	687	43674
31	710	43696
32	732	43655
33	754	43622
34	776	43596
35	798	43573
36	820	43523
37	846	43726
38	869	43733
39	892	43737
40	914	43703
41	936	43673
42	959	43683
43	981	43637
44	1003	43602
45	1024	43535
46	1046	43484
47	1068	43446
48	1091	43446
49	1116	43542
50	1138	43501
51	1162	43530
52	1183	43479
53	1206	43479
54	1229	43470
55	1251	43436
56	1274	43436
57	1296	43423
58	1319	43411
59	1344	43481
60	1368	43491
61	1391	43490
62	1414	43488
63	1437	43470
64	1460	43485
65	1483	43468
66	1506	43471
67	1529	43454
68	1552	43455
69	1576	43462
70	1600	43487
71	1626	43544
72	1648	43525
73	1672	43541
74	1694	43497
75	1717	43487
76	1740	43459
77	1762	43439
78	1784	43388
79	1806	43355
80	1828	43312
81	1849	43267
82	1876	43338
83	1898	43309
84	1921	43300
85	1943	43261
86	1965	43220
87	1986	43156
88	2007	43102
89	2028	43054
90	2050	43005
91	2072	42985
92	2093	42936
93	2118	42946
94	2143	42975
95	2166	42961
96	2189	42949
97	2211	42917
98	2232	42874
99	2255	42847
100	2277	42814
101	2299	42780
102	2321	42760
103	2343	42716
104	2366	42716
105	2390	42710
106	2412	42676
107	2434	42656
108	2458	42652
109	2481	42631
110	2503	42600
111	2525	42569
112	2547	42546
113	2569	42501
114	2590	42469
115	2613	42448
116	2638	42459
117	2659	42423
118	2683	42410
119	2705	42393
120	2727	42353
121	2749	42325
122	2770	42283
123	2792	42253
124	2815	42231
125	2837	42198
126	2864	42243
127	2893	42324
128	2919	42348
129	2942	42329
130	2963	42285
131	2987	42271
132	3010	42253
133	3032	42226
134	3054	42194
135	3075	42157
136	3097	42121
137	3118	42082
138	3143	42091
139	3167	42081
140	3190	42060
