iter	Logloss
0	0.6320517316
1	0.593975075
2	0.5527166173
3	0.523989627
4	0.5029382072
5	0.4836898735
6	0.4694198828
7	0.4588203751
8	0.4545099498
9	0.4469852307
10	0.439439103
11	0.4325511469
12	0.429575188
13	0.4262666375
14	0.4234710944
15	0.4201495944
16	0.4169548561
17	0.4152296865
18	0.4130548273
19	0.4105108699
20	0.4085906407
21	0.4064942379
22	0.4051576316
23	0.4036424912
24	0.4022725107
25	0.4020152088
26	0.4008349831
27	0.3993398682
28	0.3991500012
29	0.3983226796
30	0.3980076341
31	0.3971864267
32	0.3969686216
33	0.3959116752
34	0.395695511
35	0.3949682515
36	0.3941063693
37	0.3934351029
38	0.3928187308
39	0.3925314665
40	0.3916373688
41	0.3909786761
42	0.39077149
43	0.3906125952
44	0.3903308829
45	0.3901725381
46	0.3891859212
47	0.3885781382
48	0.3880903358
49	0.387690629
50	0.3874257851
51	0.386964368
52	0.3867594604
53	0.3864839351
54	0.3857375251
55	0.3855806737
56	0.3855388644
57	0.3852066779
58	0.384678585
59	0.384469049
60	0.3842597177
61	0.3841920326
62	0.383228747
63	0.3829947725
64	0.3825824035
65	0.3817535931
66	0.3810180504
67	0.3809617416
68	0.38093797
69	0.380290945
70	0.3800739187
71	0.3799903959
72	0.3794338063
73	0.3786936586
74	0.3783675161
75	0.3776689597
76	0.3775588162
77	0.3775032581
78	0.3768957647
79	0.3768607895
80	0.3762104771
81	0.3754552078
82	0.3746189447
83	0.3740173211
84	0.3739951592
85	0.3732663475
86	0.3732306433
87	0.3724168131
88	0.3721340467
89	0.3713847083
90	0.3710724057
91	0.3708003332
92	0.370693401
93	0.3701216214
94	0.3695004982
95	0.3694209899
96	0.3689204137
97	0.3685736831
98	0.367720981
99	0.3672170326
100	0.3669251326
101	0.3664444103
102	0.3659174636
103	0.3651944881
104	0.3647859349
105	0.3640001948
106	0.3634155802
107	0.3629736497
108	0.362338042
109	0.3622261741
110	0.3616990745
111	0.3611139939
112	0.3609071683
113	0.3605270058
114	0.3604410284
115	0.3600664984
116	0.3598952874
117	0.3598015586
118	0.3588727686
119	0.3581427147
120	0.3576750038
121	0.357435243
122	0.3564286485
123	0.3558002004
124	0.3554213223
125	0.3553213001
126	0.3551386835
127	0.3548358104
128	0.3545379757
129	0.3541173819
130	0.3538120556
131	0.3534388927
