iter	Passed	Remaining
0	18	9207
1	27	6944
2	44	7350
3	61	7623
4	78	7807
5	97	7991
6	114	8032
7	130	8048
8	136	7457
9	153	7508
10	170	7579
11	187	7616
12	196	7360
13	213	7394
14	229	7405
15	246	7444
16	263	7473
17	280	7500
18	297	7519
19	320	7696
20	341	7787
21	362	7884
22	384	7966
23	405	8044
24	426	8094
25	439	8003
26	456	7989
27	473	7987
28	485	7887
29	497	7787
30	502	7604
31	519	7594
32	540	7650
33	556	7631
34	566	7527
35	583	7517
36	600	7510
37	616	7499
38	641	7580
39	653	7510
40	670	7500
41	688	7507
42	706	7509
43	723	7496
44	740	7482
45	747	7376
46	766	7386
47	786	7404
48	804	7402
49	821	7395
50	839	7386
51	856	7380
52	875	7386
53	893	7382
54	911	7370
55	928	7358
56	938	7291
57	955	7279
58	972	7270
59	993	7283
60	1011	7279
61	1019	7199
62	1038	7201
63	1057	7202
64	1075	7198
65	1093	7192
66	1111	7183
67	1120	7118
68	1139	7120
69	1161	7135
70	1181	7140
71	1199	7127
72	1220	7139
73	1241	7149
74	1258	7131
75	1276	7121
76	1294	7111
77	1303	7053
78	1321	7043
79	1331	6990
80	1348	6975
81	1367	6969
82	1385	6959
83	1404	6956
84	1413	6903
85	1431	6891
86	1438	6829
87	1457	6823
88	1475	6813
89	1493	6804
90	1511	6794
91	1528	6779
92	1547	6772
93	1564	6756
94	1581	6741
95	1598	6728
96	1615	6712
97	1632	6695
98	1652	6691
99	1673	6695
100	1693	6689
101	1715	6694
102	1731	6675
103	1748	6658
104	1766	6644
105	1784	6633
106	1802	6620
107	1822	6615
108	1845	6618
109	1867	6621
110	1888	6617
111	1905	6601
112	1923	6587
113	1943	6581
114	1962	6569
115	1981	6558
116	1998	6542
117	2017	6531
118	2034	6514
119	2054	6504
120	2072	6492
121	2090	6477
122	2108	6464
123	2128	6453
124	2160	6480
125	2182	6479
126	2204	6475
127	2225	6467
128	2247	6463
129	2264	6445
130	2281	6426
131	2299	6410
132	2315	6390
133	2333	6372
134	2351	6358
135	2372	6349
136	2389	6331
137	2408	6318
138	2433	6319
139	2451	6303
140	2470	6290
141	2488	6274
142	2507	6261
143	2537	6272
144	2554	6254
145	2571	6234
146	2587	6212
147	2603	6192
148	2620	6172
149	2642	6166
150	2660	6148
151	2677	6129
152	2704	6132
153	2727	6127
154	2745	6111
155	2764	6096
156	2782	6079
157	2804	6070
158	2826	6061
159	2843	6042
160	2862	6026
161	2880	6008
162	2898	5993
163	2917	5977
164	2938	5965
165	2955	5946
166	2976	5934
167	2996	5922
168	3024	5924
169	3042	5906
170	3064	5895
171	3081	5875
172	3098	5857
173	3115	5836
174	3135	5822
175	3159	5816
176	3184	5810
177	3200	5790
178	3218	5771
179	3237	5754
180	3257	5741
181	3279	5729
182	3297	5711
183	3317	5697
184	3334	5678
185	3352	5660
186	3375	5649
187	3395	5635
188	3412	5615
189	3433	5601
190	3452	5585
191	3473	5572
192	3496	5562
193	3514	5543
194	3530	5522
195	3548	5503
196	3565	5484
197	3581	5462
198	3599	5444
199	3617	5426
200	3637	5410
201	3656	5393
202	3678	5381
203	3694	5361
204	3712	5342
205	3730	5323
206	3748	5305
207	3765	5286
208	3782	5266
209	3820	5276
210	3838	5257
211	3857	5240
212	3876	5223
213	3894	5204
214	3914	5188
215	3937	5177
216	3960	5165
217	3982	5151
218	4006	5140
219	4034	5134
220	4060	5125
221	4081	5111
222	4128	5128
223	4152	5116
224	4170	5097
225	4187	5076
226	4205	5057
227	4222	5037
228	4241	5018
229	4259	4999
230	4281	4985
231	4308	4976
232	4328	4959
233	4350	4945
234	4370	4928
235	4388	4908
236	4410	4894
237	4431	4878
238	4450	4859
239	4470	4843
240	4490	4826
241	4511	4809
242	4536	4797
243	4556	4780
244	4582	4769
245	4608	4758
246	4638	4750
247	4658	4733
248	4678	4716
249	4695	4695
250	4714	4676
251	4741	4665
252	4769	4655
253	4791	4640
254	4810	4621
255	4826	4599
256	4844	4580
257	4862	4560
258	4887	4547
259	4908	4531
260	4926	4510
261	4946	4493
262	4965	4474
263	4987	4458
264	5006	4440
265	5025	4420
266	5045	4403
267	5066	4385
268	5083	4365
269	5102	4346
270	5120	4326
271	5140	4308
272	5160	4290
273	5179	4272
274	5198	4253
275	5217	4234
276	5239	4218
277	5258	4199
278	5278	4180
279	5301	4165
280	5325	4150
281	5349	4135
282	5370	4117
283	5389	4098
284	5407	4079
285	5425	4059
286	5446	4042
287	5465	4023
288	5493	4010
289	5518	3996
290	5539	3978
291	5559	3960
292	5577	3940
293	5599	3923
294	5621	3906
295	5643	3889
296	5671	3876
297	5691	3857
298	5709	3838
299	5733	3822
300	5753	3803
301	5773	3785
302	5792	3765
303	5820	3752
304	5842	3735
305	5867	3720
306	5885	3699
307	5901	3679
308	5919	3659
309	5935	3637
310	5953	3618
311	5971	3598
312	5989	3578
313	6009	3559
314	6033	3543
315	6052	3524
316	6069	3504
317	6087	3483
318	6104	3463
319	6145	3456
320	6163	3436
321	6186	3420
322	6204	3399
323	6221	3379
324	6239	3359
325	6265	3343
326	6284	3324
327	6302	3305
328	6319	3284
329	6337	3264
330	6354	3244
331	6374	3225
332	6392	3205
333	6410	3186
334	6427	3165
335	6444	3145
336	6465	3127
337	6486	3108
338	6506	3089
339	6531	3073
340	6549	3053
341	6568	3034
342	6585	3014
343	6602	2994
344	6622	2975
345	6640	2955
346	6658	2935
347	6675	2915
348	6699	2898
349	6723	2881
350	6745	2863
351	6766	2845
352	6784	2825
353	6807	2807
354	6836	2792
355	6858	2774
356	6876	2754
357	6896	2735
358	6913	2715
359	6930	2695
360	6952	2677
361	6976	2659
362	6998	2641
363	7015	2621
364	7034	2601
365	7054	2582
366	7080	2565
367	7098	2546
368	7117	2526
369	7134	2506
370	7149	2485
371	7172	2468
372	7194	2449
373	7213	2430
374	7232	2410
375	7249	2390
376	7272	2372
377	7289	2352
378	7307	2333
379	7325	2313
380	7342	2293
381	7359	2273
382	7379	2254
383	7399	2235
384	7416	2215
385	7433	2195
386	7451	2175
387	7468	2155
388	7493	2138
389	7515	2119
390	7532	2099
391	7550	2080
392	7572	2061
393	7597	2043
394	7616	2024
395	7634	2005
396	7653	1985
397	7675	1967
398	7693	1947
399	7711	1927
400	7729	1908
401	7747	1888
402	7764	1868
403	7781	1849
404	7800	1829
405	7818	1810
406	7835	1790
407	7860	1772
408	7881	1753
409	7898	1733
410	7920	1715
411	7939	1695
412	7956	1676
413	7973	1656
414	7991	1636
415	8005	1616
416	8023	1597
417	8041	1577
418	8059	1558
419	8079	1538
420	8096	1519
421	8114	1499
422	8134	1480
423	8158	1462
424	8178	1443
425	8196	1423
426	8214	1404
427	8235	1385
428	8254	1366
429	8277	1347
430	8295	1328
431	8312	1308
432	8336	1289
433	8360	1271
434	8380	1252
435	8398	1232
436	8421	1214
437	8440	1194
438	8458	1175
439	8475	1155
440	8498	1137
441	8518	1117
442	8534	1098
443	8552	1078
444	8574	1059
445	8596	1040
446	8629	1023
447	8647	1003
448	8667	984
449	8690	965
450	8710	946
451	8727	926
452	8746	907
453	8764	888
454	8783	868
455	8801	849
456	8824	830
457	8842	810
458	8861	791
459	8879	772
460	8900	752
461	8920	733
462	8937	714
463	8954	694
464	8973	675
465	8992	656
466	9015	637
467	9034	617
468	9059	598
469	9079	579
470	9103	560
471	9126	541
472	9147	522
473	9165	502
474	9183	483
475	9202	463
476	9219	444
477	9239	425
478	9255	405
479	9279	386
480	9305	367
481	9325	348
482	9345	328
483	9362	309
484	9379	290
485	9396	270
486	9413	251
487	9434	231
488	9454	212
489	9472	193
490	9492	173
491	9509	154
492	9526	135
493	9543	115
494	9561	96
495	9581	77
496	9600	57
497	9618	38
498	9634	19
499	9651	0
