ProductID,Brand,ProductType,StoreLocation,Price,QuantitySold,Condition,DateSold,Rating,Review
P0000,Soylent,Toys,New York,61.34,91,New,2024-06-03,5,Excellent quality!
P0001,Initech,Electronics,Houston,46.71,68,New,2024-05-24,4,Value for money
P0002,Umbrella,Electronics,New York,47.14,46,New,2024-06-09,⭐,Great product!
P0003,Initech,Electronics,Miami,11.31,93,New,2024-06-05,three,Highly recommended
P0004,Initech,Electronics,New York,53.01,61,New,2024-05-20,1,Perfect gift 🎁
P0005,Globex,Furniture,Los Angeles,49.69,68,New,2024-02-15,⭐,Too expensive 💸
P0006,Umbrella,Food,Houston,23.4,75,New,2024-02-04,1,Would not recommend
P0007,Umbrella,Food,Houston,49.49,15,New,2024-05-13,4,Great product!
P0008,Umbrella,Electronics,Miami,76.86,89,Used,2024-03-22,three,Not as described
P0009,Initech,Food,Los Angeles,35.31,89,Used,2024-04-24,5,Missing parts ⚠️
P0010,Soylent,Food,Chicago,30.8,47,New,2024-02-16,2,Too expensive 💸
P0011,Umbrella,Electronics,New York,72.1,84,Used,2024-06-01,⭐⭐,Perfect gift 🎁
P0012,Hooli,Food,Phoenix,62.68,38,Refurbished,2024-01-10,5,Highly recommended
P0013,Initech,Toys,New York,111.22,99,New,2024-02-25,2,Excellent quality!
P0014,Globex,Clothing,New York,23.63,32,New,2024-01-30,3,Perfect gift 🎁
P0015,Soylent,Clothing,Chicago,64.41,93,New,2024-04-18,four,Too expensive 💸
P0016,Hooli,Electronics,New York,56.32,22,New,2024-01-05,⭐⭐⭐⭐⭐,Perfect gift 🎁
P0017,Hooli,Furniture,Los Angeles,51.19,9,Refurbished,2024-04-28,⭐⭐⭐⭐⭐,Too expensive 💸
P0018,Globex,Electronics,Los Angeles,68.21,68,New,2024-02-02,⭐⭐,Too expensive 💸
P0019,Soylent,Furniture,Houston,49.41,99,New,2024-04-27,three,Fast shipping 🚚
P0020,Initech,Clothing,Miami,11.27,33,Used,2024-03-05,4,Would not recommend
P0021,Acme,Electronics,Phoenix,33.05,51,Refurbished,2024-05-25,three,Missing parts ⚠️
P0022,Soylent,Books,New York,77.29,94,New,2024-06-25,4,Fast shipping 🚚
P0023,Globex,Toys,New York,73.44,9,Used,2024-01-11,three,Highly recommended
P0024,Hooli,Food,Chicago,42.54,18,Used,2024-03-25,four,Fast shipping 🚚
P0025,Initech,Furniture,Miami,60.07,57,Used,2024-01-26,3,Value for money
P0026,Soylent,Books,Los Angeles,105.68,95,New,2024-03-03,3,Value for money
P0027,Acme,Food,Phoenix,49.38,0,Refurbished,2024-03-26,2,Missing parts ⚠️
P0028,Acme,Food,Houston,49.77,68,New,2024-02-28,⭐,Perfect gift 🎁
P0029,Umbrella,Electronics,Los Angeles,53.81,3,Refurbished,2024-01-27,3,Would not recommend
P0030,Umbrella,Food,Miami,62.14,15,Used,2024-06-25,3,Missing parts ⚠️
P0031,Globex,Toys,Houston,43.02,23,Refurbished,2024-06-09,5,Too expensive 💸
P0032,Soylent,Books,Chicago,62.12,79,Used,2024-04-07,5,Not as described
P0033,Soylent,Food,Chicago,11.12,1,Used,2024-04-14,2,Would not recommend
P0034,Hooli,Electronics,New York,56.73,91,Used,2024-04-08,⭐,Would not recommend
P0035,Hooli,Toys,Miami,51.01,31,New,2024-05-08,⭐⭐,Too expensive 💸
P0036,Hooli,Clothing,Phoenix,45.65,90,New,2024-05-28,5,Too expensive 💸
P0037,Umbrella,Books,Houston,40.49,83,New,2024-02-24,⭐⭐,Excellent quality!
P0038,Soylent,Food,Los Angeles,37.81,23,Used,2024-01-06,1,Missing parts ⚠️
P0039,Soylent,Electronics,Miami,33.73,11,New,2024-04-04,5,Too expensive 💸
P0040,Acme,Clothing,Miami,3.64,49,New,2024-05-12,four,Value for money
P0041,Umbrella,Clothing,Chicago,44.64,34,New,2024-04-11,⭐,Highly recommended
P0042,Initech,Furniture,New York,71.93,32,New,2024-01-03,2,Not as described
P0043,Umbrella,Toys,New York,43.29,32,Used,2024-06-29,1,Missing parts ⚠️
P0044,Initech,Food,Houston,62.7,60,Used,2024-01-23,⭐,Great product!
P0045,Acme,Electronics,Chicago,28.4,50,New,2024-02-22,four,Value for money
P0046,Globex,Furniture,Miami,23.89,42,Used,2024-06-13,⭐,Perfect gift 🎁
P0047,Soylent,Toys,Phoenix,34.98,11,New,2024-03-23,four,Too expensive 💸
P0048,Acme,Furniture,Chicago,29.49,66,New,2024-05-24,four,Great product!
P0049,Soylent,Books,Houston,26.34,64,Refurbished,2024-03-25,⭐⭐,Too expensive 💸
P0050,Hooli,Toys,Houston,59.0,32,New,2024-03-18,three,Would not recommend
P0051,Globex,Toys,Chicago,85.58,39,New,2024-04-19,1,Value for money
P0052,Globex,Food,Houston,36.66,73,Refurbished,2024-01-01,⭐,Would not recommend
P0053,Acme,Toys,Chicago,16.16,42,New,2024-02-20,4,Excellent quality!
P0054,Globex,Furniture,Los Angeles,63.14,43,New,2024-06-21,1,Would not recommend
P0055,Initech,Toys,Chicago,21.28,28,New,2024-01-04,three,Excellent quality!
P0056,Globex,Food,Chicago,26.33,12,New,2024-04-22,1,Excellent quality!
P0057,Soylent,Food,Houston,59.9,11,New,2024-02-01,3,Great product!
P0058,Soylent,Books,Houston,46.69,94,New,2024-02-03,4,Too expensive 💸
P0059,Soylent,Furniture,New York,36.26,45,Refurbished,2024-04-01,three,Perfect gift 🎁
P0060,Soylent,Clothing,New York,51.37,1,Refurbished,2024-04-04,⭐⭐,Would not recommend
P0061,Initech,Clothing,Los Angeles,41.81,34,Used,2024-03-12,⭐,Value for money
P0062,Umbrella,Toys,New York,87.79,86,Refurbished,2024-02-08,⭐⭐⭐⭐⭐,Excellent quality!
P0063,Hooli,Books,Chicago,36.48,80,Refurbished,2024-06-02,three,Too expensive 💸
P0064,Acme,Electronics,Houston,31.73,89,New,2024-06-10,2,Not as described
P0065,Soylent,Toys,New York,40.9,7,New,2024-06-30,⭐,Missing parts ⚠️
P0066,Globex,Books,New York,41.74,92,New,2024-04-27,three,Great product!
P0067,Soylent,Furniture,Los Angeles,61.91,25,New,2024-01-03,3,Perfect gift 🎁
P0068,Globex,Furniture,Miami,10.17,73,New,2024-05-02,⭐⭐⭐⭐⭐,Fast shipping 🚚
P0069,Hooli,Furniture,Los Angeles,58.52,89,New,2024-02-19,3,Great product!
P0070,Hooli,Furniture,Chicago,39.17,33,Used,2024-01-12,⭐⭐⭐⭐⭐,Not as described
P0071,Hooli,Furniture,Houston,65.54,6,Used,2024-02-23,2,Missing parts ⚠️
P0072,Globex,Books,Los Angeles,49.05,67,New,2024-05-12,⭐,Not as described
P0073,Soylent,Books,New York,60.37,57,New,2024-02-26,⭐⭐,Would not recommend
P0074,Hooli,Food,Houston,42.17,74,New,2024-05-24,3,Excellent quality!
P0075,Initech,Clothing,Houston,58.76,28,Used,2024-04-21,3,Perfect gift 🎁
P0076,Globex,Furniture,New York,83.28,35,Used,2024-02-16,four,Highly recommended
P0077,Globex,Electronics,Los Angeles,35.22,88,New,2024-05-30,⭐⭐⭐⭐⭐,Excellent quality!
P0078,Soylent,Books,New York,47.86,20,Refurbished,2024-03-25,5,Highly recommended
P0079,Globex,Electronics,Miami,40.28,35,New,2024-05-21,⭐,Missing parts ⚠️
P0080,Globex,Electronics,Houston,81.86,9,New,2024-03-06,⭐⭐⭐⭐⭐,Too expensive 💸
P0081,Hooli,Electronics,Phoenix,41.32,72,New,2024-03-15,four,Fast shipping 🚚
P0082,Soylent,Food,Phoenix,35.35,23,New,2024-06-27,1,Value for money
P0083,Hooli,Books,Chicago,38.43,63,Used,2024-04-12,⭐⭐⭐⭐⭐,Excellent quality!
P0084,Hooli,Electronics,New York,47.29,98,Refurbished,2024-06-14,⭐⭐,Perfect gift 🎁
P0085,Soylent,Furniture,New York,34.13,48,New,2024-02-07,⭐,Not as described
P0086,Acme,Toys,Chicago,42.63,98,Refurbished,2024-02-19,four,Perfect gift 🎁
P0087,Hooli,Electronics,Chicago,53.14,35,Used,2024-04-07,1,Missing parts ⚠️
P0088,Initech,Food,Chicago,47.69,81,Used,2024-03-22,4,Highly recommended
P0089,Initech,Books,Houston,66.63,95,New,2024-01-30,four,Not as described
P0090,Globex,Food,Miami,43.61,23,New,2024-03-19,4,Value for money
P0091,Initech,Electronics,New York,45.91,22,New,2024-03-31,⭐,Value for money
P0092,Globex,Books,Houston,55.42,61,New,2024-06-27,3,Excellent quality!
P0093,Acme,Toys,Chicago,94.9,95,New,2024-02-21,four,Missing parts ⚠️
P0094,Soylent,Electronics,New York,34.25,36,Refurbished,2024-06-14,2,Too expensive 💸
P0095,Soylent,Food,Houston,88.47,11,New,2024-03-19,4,Missing parts ⚠️
P0096,Soylent,Clothing,Miami,26.33,54,New,2024-01-30,⭐⭐,Highly recommended
P0097,Initech,Furniture,Houston,54.58,12,New,2024-04-15,2,Perfect gift 🎁
P0098,Acme,Food,Miami,43.21,22,New,2024-02-20,three,Value for money
P0099,Initech,Books,Chicago,33.69,88,New,2024-03-21,three,Perfect gift 🎁
